READ TERR 1 2
! xrtwtflux
85.207	1.956	-2.194	2.09098373501137e-09	3.18964567902418e-10	-3.18964749367159e-10
89.996	2.507	-2.832	1.07450535765889e-09	2.03084994905915e-10	-2.03085176370657e-10
94.881	2.118	-2.378	1.22112596514521e-09	2.39040237270531e-10	-2.39040418735272e-10
102.144	5.191	-5.145	5.553904426459e-10	1.01400174656403e-10	-1.01400229095825e-10
NO NO NO NO NO NO
! xrtpcflux
158.566	63.968	-48.861	1.76257147978388e-11	3.97982866117183e-12	-3.97982866117183e-12
320.346	97.759	-97.812	5.6901415013431e-12	1.25589257185691e-12	-1.25589257185691e-12
465.615	42.753	-47.51	1.16049745058742e-11	2.6156573057083e-12	-2.6156573057083e-12
553.599	65.090	-45.232	9.52472399746911e-12	2.14678781487595e-12	-2.14678781487595e-12
704.762	77.191	-86.073	1.38490699164488e-11	2.22439899543736e-12	-2.22439899543736e-12
4156.454	81.739	-101.295	5.94338089603841e-12	1.33161636221273e-12	-1.33161636221273e-12
4326.422	82.267	-88.23	6.34027339677028e-12	1.42904039653679e-12	-1.42904039653679e-12
4514.891	81.846	-106.202	4.35853554119051e-12	1.13737285818036e-12	-1.13737285818036e-12
4681.409	93.347	-84.671	6.19607213271782e-12	1.40494390684734e-12	-1.40494390684734e-12
4859.096	78.635	-84.34	6.67369224572484e-12	1.50719582699067e-12	-1.50719582699067e-12
5043.679	102.159	-105.948	5.14708804841329e-12	1.16242549771612e-12	-1.16242549771612e-12
5274.809	106.715	-128.972	3.38385403848733e-12	8.85387555853731e-13	-8.85387555853731e-13
5490.147	81.932	-108.623	5.63202506933678e-12	1.26436395736347e-12	-1.26436395736347e-12
5638.765	76.231	-66.686	7.54238437320338e-12	1.68987262345761e-12	-1.68987262345761e-12
5810.013	77.987	-95.017	4.71501323916236e-12	1.22712529938073e-12	-1.22712529938073e-12
5994.170	106.951	-106.17	4.6095124715893e-12	1.10840302802521e-12	-1.10840302802521e-12
6184.162	94.978	-83.041	4.71331172216842e-12	1.22995288807737e-12	-1.22995288807737e-12
6389.280	183.209	-110.139	5.59980149363983e-12	1.04988750777568e-12	-1.04988750777568e-12
9953.624	116.202	-192.197	3.2648239397707e-12	8.56055299781679e-13	-8.56055299781679e-13
10216.356	144.317	-146.531	3.48716612472189e-12	9.14354455651026e-13	-9.14354455651026e-13
10545.689	138.427	-185.016	3.04379652000496e-12	7.96727095513503e-13	-7.96727095513503e-13
10853.889	131.103	-169.773	3.11079088888258e-12	8.12864032748176e-13	-8.12864032748176e-13
11102.115	166.203	-117.123	3.18101625802245e-12	8.29788716669118e-13	-8.29788716669118e-13
11511.036	203.582	-242.719	1.8699366934486e-12	4.9457046931955e-13	-4.9457046931955e-13
12026.314	327.661	-311.696	2.38603456487126e-12	4.68021575057221e-13	-4.68021575057221e-13
15695.653	175.068	-148.375	3.19935882800698e-12	8.30092654844883e-13	-8.30092654844883e-13
16070.350	214.076	-199.63	2.48935170816432e-12	6.54155609264506e-13	-6.54155609264506e-13
16460.977	131.848	-176.551	3.27971525592794e-12	8.52601547085648e-13	-8.52601547085648e-13
16722.177	184.061	-129.352	3.16488168249059e-12	8.20348731222661e-13	-8.20348731222661e-13
17109.450	230.552	-203.212	2.19138980750452e-12	5.73594537044119e-13	-5.73594537044119e-13
17562.517	206.235	-222.515	2.18694933910614e-12	5.69635047099085e-13	-5.69635047099085e-13
17949.320	190.566	-180.567	2.95724584498471e-12	7.69522416646178e-13	-7.69522416646178e-13
21595.652	180.412	-268.571	2.51033901695455e-12	6.31025373254143e-13	-6.31025373254143e-13
21979.046	163.084	-202.983	2.59008167411611e-12	6.73982719493776e-13	-6.73982719493776e-13
22319.518	138.533	-177.388	2.94748007282932e-12	7.68485543462514e-13	-7.68485543462514e-13
22661.384	117.602	-203.333	2.93252761450078e-12	7.63093198836937e-13	-7.63093198836937e-13
23398.327	531.505	-619.341	1.29440677618568e-12	2.69276617353677e-13	-2.69276617353677e-13
